feature,departamento,mean,std
t2m_oct,Balcarce,13.029179723502304,1.003516161277504
t2m_oct,Banda,23.8370223325062,1.2648822488666516
t2m_oct,Baradero,17.150576735092866,0.8854224696584776
t2m_oct,Belgrano,18.684253563390847,1.0261770637502814
t2m_oct,Bella Vista,21.312879330943847,0.9718707042092568
t2m_oct,Benito Juarez,13.373646138807429,0.975524421003011
t2m_oct,Bermejo,22.531806451612905,1.3012367738528205
t2m_oct,Beron De Astrada,21.455028462998104,1.0204419291336069
t2m_oct,Bolivar,16.866840607210627,1.014368043123177
t2m_oct,Bragado,16.28668880455408,0.9312615546537575
t2m_oct,Brandsen,16.04337941628264,0.932185947757831
t2m_oct,Burruyacu,21.65511679644049,1.1476467145637288
t2m_oct,Cachi,9.575996204933586,1.0276959675924187
t2m_oct,Cainguas,20.782237252861602,1.1772954742179966
t2m_oct,Calamuchita,18.040332986472425,1.126237091386034
t2m_oct,Campana,17.080436432637573,0.8733541864381019
t2m_oct,Candelaria,20.894213098729228,1.225868310566178
t2m_oct,Canuelas,16.057308467741937,0.9356450311838392
t2m_oct,Capayan,24.748152492668623,1.0888488080039502
t2m_oct,Capital,15.917472437729685,1.0878598868506222
t2m_oct,Capitan Sarmiento,17.16662239089184,0.9317727962589532
t2m_oct,Carlos Casares,15.989124423963133,0.9373215039197622
t2m_oct,Carlos Tejedor,16.417798861480076,1.0309626539114856
t2m_oct,Carmen De Areco,16.610937500000002,0.9475999846920564
t2m_oct,Caseros,18.281310483870968,0.9790730591573185
t2m_oct,Castellanos,20.07322580645161,1.0192517238066519
t2m_oct,Castelli,15.219004608294929,0.8777738860261582
t2m_oct,Catrilo,16.157622119815667,1.01724495841238
t2m_oct,Cerrillos,15.653088954056695,1.0348543522515516
t2m_oct,Chacabuco,16.629195788530467,0.9650003475877668
t2m_oct,Chapaleufu,16.837544802867384,1.104605667582295
t2m_oct,Chascomus,15.559829222011384,0.9417091890467335
t2m_oct,Chicoana,15.690778642936596,1.094747190047887
t2m_oct,Chivilcoy,16.12587487781036,0.926204810460817
t2m_oct,Choya,22.704723502304148,1.223830701069011
t2m_oct,Colon,17.164635270315834,0.9540154256073095
t2m_oct,Comandante Fernandez,23.57188172043011,1.4521970038364402
t2m_oct,Concepcion,21.111398854386497,1.0968541035870014
t2m_oct,Concordia,18.703396584440227,0.9790643102300913
t2m_oct,Conhelo,16.08439964157706,1.1067322322942323
t2m_oct,Copo,24.201756272401433,1.3322645483572995
t2m_oct,Coronel Dorrego,13.530664136622391,0.9329516067177643
t2m_oct,Coronel Pringles,13.439121863799285,0.977471071078227
t2m_oct,Coronel Suarez,13.866451612903225,0.9414830459089135
t2m_oct,Cruz Alta,24.658168202764976,1.26448764400405
t2m_oct,Curuzu Cuatia,19.50309384164223,0.9301355597691172
t2m_oct,Daireaux,15.485124423963134,0.9294660388690703
t2m_oct,Diamante,19.562049335863378,0.9332969174608795
t2m_oct,Dolores,14.777947214076248,0.9449208615336716
t2m_oct,Dr. Manuel Belgrano,9.745238095238095,0.9265476795864042
t2m_oct,El Alto,20.40865927419355,1.1524618868260181
t2m_oct,El Carmen,23.188172043010752,1.03175964061317
t2m_oct,Eldorado,20.65815053763441,1.3321430701604868
t2m_oct,Empedrado,21.719985974754557,1.0128333300419492
t2m_oct,Esquina,20.695672043010752,0.7168940855887944
t2m_oct,Exaltacion De La Cruz,16.046612903225807,0.943665560108933
t2m_oct,Federacion,19.02513282732448,0.9698574868064131
t2m_oct,Federal,19.023159392789374,0.9849596072570965
t2m_oct,Feliciano,19.97576735092864,0.9398607036598147
t2m_oct,Figueroa,24.006638370118846,1.4413771874515822
t2m_oct,Florentino Ameghino,16.82199692780338,1.2208666878496666
t2m_oct,Formosa,23.554985337243405,1.4325034446369447
t2m_oct,Fray Justo Santa Maria De Oro,23.02956356736243,1.2614386361621617
t2m_oct,Garay,18.578687430478308,0.9652865044944632
t2m_oct,General Alvarado,16.04490322580645,0.8989679078028036
t2m_oct,General Alvear,15.276656891495602,0.9862556004299466
t2m_oct,General Arenales,16.82103616813294,0.9893321619532954
t2m_oct,General Belgrano,15.26029411764706,0.937042239653067
t2m_oct,General Donovan,22.954447004608294,1.2438359161527925
t2m_oct,General Guemes,22.168373876255952,1.0714440129339662
t2m_oct,General Guido,14.737441601779755,0.8627794257677498
t2m_oct,General Jose De San Martin,15.602451612903227,1.0254961436782812
t2m_oct,General Juan Madariaga,13.852770398481974,0.7868676056844133
t2m_oct,General La Madrid,13.838746543778802,0.9140285598308734
t2m_oct,General Las Heras,16.046774193548387,0.9828547644658896
t2m_oct,General Lavalle,14.663381123058544,0.8920719784385133
t2m_oct,General Lopez,17.375142314990512,1.043517944446889
t2m_oct,General Manuel Belgrano,21.700426638917794,1.2979108814442246
t2m_oct,General Obligado,21.72518975332068,1.1038258569699084
t2m_oct,General Paz,13.944896313364055,0.8381579116614868
t2m_oct,General Pedernera,17.473104838709677,1.3146841985931426
t2m_oct,General Pinto,16.43440860215054,1.0086970424158221
t2m_oct,General Pueyrredon,12.750811059907834,0.8144557415434857
t2m_oct,General Roca,18.811242884250476,0.9833344053382508
t2m_oct,General Rodriguez,16.616313364055298,0.9043207198228153
t2m_oct,General San Martin,18.228856304985335,1.0789271131413716
t2m_oct,General Taboada,24.72356989247312,1.2895730858101322
t2m_oct,General Viamonte,16.830976958525348,1.0216146811826583
t2m_oct,General Villegas,16.811935483870965,1.1532676253790728
t2m_oct,Gobernador Dupuy,16.603793548387095,1.0884116210085442
t2m_oct,Goya,21.645557184750732,0.874845381551223
t2m_oct,Graneros,20.957707373271887,1.183051713378992
t2m_oct,Gualeguay,18.05913978494624,0.8809465566998721
t2m_oct,Gualeguaychu,17.741524926686218,0.8712749543046018
t2m_oct,Guamini,15.299193548387095,0.914024430735695
t2m_oct,Guarani,20.329579667644182,1.1223030700719518
t2m_oct,Guasayan,23.15578341013825,1.271315928292101
t2m_oct,Guatrache,15.202993951612903,1.0748397253830397
t2m_oct,Hipolito Yrigoyen,13.803852534562212,0.9415582181724607
t2m_oct,Hucal,15.41,1.1960175467023406
t2m_oct,Iguazu,23.185650364203955,1.4749298151311243
t2m_oct,Independencia,22.39620071684588,1.269256742322604
t2m_oct,Iriondo,18.217628083491462,0.9833243642357996
t2m_oct,Ischilin,18.061221896383188,1.108596933170019
t2m_oct,Itati,22.10704516129032,1.1294298634756286
t2m_oct,Ituzaingo,21.600476858345022,1.151024130810193
t2m_oct,Jimenez,25.268972520908004,1.2936512679675465
t2m_oct,Juan F. Ibarra,24.190368663594473,1.3087481407339445
t2m_oct,Juan Martin De Pueyrredon,17.37826612903226,1.2829192833688663
t2m_oct,Juarez Celman,17.8176482830385,1.1473976503264536
t2m_oct,Junin,16.792444056960186,1.0144715174182655
t2m_oct,La Caldera,12.425032258064515,0.9374460557956823
t2m_oct,La Candelaria,21.07509286412512,1.1237357700498547
t2m_oct,La Capital,18.53909867172675,0.9132150204807775
t2m_oct,La Cocha,19.136603415559772,1.2822476623520398
t2m_oct,La Paz,20.09739980449658,0.969823326016097
t2m_oct,La Plata,16.014548387096774,0.9467478117356455
t2m_oct,La Vina,16.10199522102748,1.1438776436717188
t2m_oct,Laishi,22.88938879456706,1.263033779739595
t2m_oct,Laprida,13.55049853372434,0.9132498490289994
t2m_oct,Las Colonias,19.635004887585534,1.048855717601345
t2m_oct,Las Flores,15.222056451612904,0.9841998554714652
t2m_oct,Lavalle,21.54158485273492,0.8776023394294318
